Counter,Text
1,"*] Eb>j,[ Dtf Ta{ O V) G-;=#- M S@ Qo F_ Nq'z P<% Cd|&+r}.c Zp:yi\e R!?l J Y Uw W Hsvm B(k I Xg A K$ux/ Ln""h$"
2,"e P Oisy+}x V$ I Z$ Sa= T# F M D H G-wd:< Q B_?c;! R]%pmrhlnt"" Lf Nj{gz&)b'.q> Uu/v- E W[ C J| K A Y,( X@*k\o"
3,"=c\ R[*r$ Mf G C,ou S+}|g{._ Zm Xj O':yb-&); N P Q F!< L Ed-% Dh I V""lzi? Hwq Kae Y# Ux$k Jtps(/ W Bn>v] A T@"
4,"n I)@! Ctl$>& V O]:kw*v E""ij| Hq.=?d Zr Xc_'s;\#- Yp{ D Ma K[ A$ L} Jf Bxg Fu+ N U G Q R W(<byz, Se%m-oh/ P T"
5,"p Aw Sm P I+dquy]|% U Tv>?nalo.""x_s X Y[- O,{;ib$@kg#$ E L:f' Q) C G Z V(r M& F\ Bez!ct= N}/*-j H< W R Kh J D"
6,"|u Y#l;j Mv/+ Nzy Vx]agcne H{k F:i Psw G Kp= X D C T*-@ I> L}$&.d E<%f Q B W!o A U R?\$(, S""m Z Ob_t[r-h J)q'"
7,"[ S} Phbn G( A;r+ N Oi= W-j Fy X\> Dw,ql M< Y E:v|zo B"" Jus] Tg R$.e V L{ Z H-* C? U_ I!d%m#xa@f K)t$cp Q/k&'"
8,"p<$g Rj'[ F P V]r S B}um Ab= Z O G Ca_*c+w)ke( I Yv M U-l"";# L W?{!>txf-s: X Qq\@ J H No% Ki/ Ty Enz,$&.|d Dh"
9," L# T$% X_n Hjg=ths J Ky E G- Q$ N Uor Z- B? P.<""m Rk); Dc I F V@ Md\ Wl A|i( Sx+[ Y:!}{w Cz/f>'b]uv&,paeq* O"
10,"$ Xcmr+# G;g E Wbd Zy@j C'/ I\ D- Q*-[z""& Jh O<,x K? P B L V|sk:( Yw_nq%t}.op H={i Mv T$f]) S Nea Fl A> Ru U!"
11,"w#=nq E${u- G![ B K?a A T_db& I F P}% M X O Z Wpg""j< Hsz Rch+|k Vi@l-/ Dv S Y\mo$*yx J Lfe]:( Cr;. Q>', Nt) U"
